state,county,fips_state,fips_county,year,renting_hh,filings_observed,ind_filings_court_issued_lt,hh_threat_observed
California,Tuolumne County,6,6109,2010,6685,259,0,NA
California,Tuolumne County,6,6109,2011,6753,223,0,NA
California,Tuolumne County,6,6109,2012,6822,204,0,NA
California,Tuolumne County,6,6109,2013,6890,208,0,NA
California,Tuolumne County,6,6109,2014,6958,170,0,NA
California,Tuolumne County,6,6109,2015,7027,230,0,NA
California,Tuolumne County,6,6109,2016,7095,202,0,NA
California,Tuolumne County,6,6109,2017,7163,171,0,NA
California,Ventura County,6,6111,2010,92752,3204,0,NA
California,Ventura County,6,6111,2011,93806,3049,0,NA
California,Ventura County,6,6111,2012,94861,2727,0,NA
California,Ventura County,6,6111,2013,95915,2406,0,NA
California,Ventura County,6,6111,2014,96969,2445,0,NA
California,Ventura County,6,6111,2015,98024,2278,0,NA
California,Ventura County,6,6111,2016,99078,2180,0,NA
California,Ventura County,6,6111,2017,100132,1974,0,NA
California,Yolo County,6,6113,2010,33456,838,0,NA
California,Yolo County,6,6113,2011,33839,812,0,NA
California,Yolo County,6,6113,2012,34222,646,0,NA
California,Yolo County,6,6113,2013,34606,591,0,NA
California,Yolo County,6,6113,2014,34989,549,0,NA
California,Yolo County,6,6113,2015,35372,533,0,NA
California,Yolo County,6,6113,2016,35755,544,0,NA
California,Yolo County,6,6113,2017,36138,503,0,NA
California,Yuba County,6,6115,2010,9839,525,0,NA
California,Yuba County,6,6115,2011,9989,477,0,NA
California,Yuba County,6,6115,2012,10138,439,0,NA
California,Yuba County,6,6115,2013,10288,490,0,NA
California,Yuba County,6,6115,2014,10438,464,0,NA
California,Yuba County,6,6115,2015,10587,361,0,NA
California,Yuba County,6,6115,2016,10737,330,0,NA
California,Yuba County,6,6115,2017,10887,404,0,NA
