county_name,entity_id,year,revenues_govfunds,revenues_propfunds,total_revenues,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi
Fresno,10,2018,1538936000,231977000,1770913000,3592000,2130000,4068000,12388000,22178000,681865000,408848000,448223000,0.049479834814366956,0.00801386809690712,06019,"Fresno County, California",978130,515907,97991,4458,44474,20877,1104,1864,291455,0.29797163976158586,0.045468393771789024,0.5274421600400765,0.10131066422663654
Fresno,10,2017,1458060000,225874000,1683934000,3018000,4294000,4356000,1811000,13479000,682228000,355934000,419898000,0.032100653015732394,0.007187459811668548,06019,"Fresno County, California",971616,509442,96128,4197,45217,19840,1316,1799,293677,0.3022562411487666,0.04653793268122386,0.5243244244639857,0.1002906498040378
Glenn,11,2021,104234387,8549908,112784295,273244,174626,58698,322815,829383,50098270,17054502,37081615,0.022366420664256398,0.007368718973000502,06021,"Glenn County, California",28675,12295,996,348,117,476,36,42,14365,0.5009590235396687,0.004080209241499564,0.428770706190061,0.0359895379250218
Glenn,11,2020,92307846,8679039,100986885,293949,172248,103282,246827,816306,42164205,14914130,35229511,0.02317108517345018,0.00834382855896013,06021,"Glenn County, California",28060,11828,877,359,181,505,12,0,14298,0.5095509622238061,0.006450463292943692,0.42152530292230933,0.03168210976478974
Glenn,11,2019,83806597,7870735,91677332,333277,222723,191394,378653,1126047,38454339,13681231,31671027,0.03555448328214933,0.010523087868290473,06021,"Glenn County, California",27976,11680,825,391,193,478,11,0,14398,0.5146554189305119,0.006898770374606806,0.4175007148984844,0.029882756648555903
Glenn,11,2018,78478508,6212549,84691057,394917,274918,80669,471885,1222389,35367987,14474905,28635616,0.042687714488139523,0.013791112438440297,06021,"Glenn County, California",27897,11504,820,414,223,412,17,0,14507,0.5200200738430656,0.00799369107789368,0.4123740904039861,0.030003226153349823
Glenn,11,2017,68526837,6186179,74713016,499216,338918,104248,237039,1215033,28874447,13871749,25780641,0.04712966601567432,0.019363987109552474,06021,"Glenn County, California",27935,11407,729,468,212,374,82,0,14663,0.5248970825129765,0.007589045999642026,0.4083407911222481,0.029031680687309828
Humboldt,12,2019,339527710,48908592,388436302,1448342,14449,3902895,844462,9795827,148918350,76169425,114439935,0.08559797766400339,0.012655914213862494,06023,"Humboldt County, California",135940,15722,4073,6264,1336,6858,432,177,101078,0.7435486243931146,0.00982786523466235,0.11565396498455201,0.03313962042077387
Humboldt,12,2018,321197776,46569124,367766900,1204124,12243,1262672,706356,3230846,144982564,68974785,107240427,0.03012712733790215,0.011228265624119532,06023,"Humboldt County, California",135768,15360,4049,5919,1342,7166,369,258,101305,0.7461625714454069,0.00988450886806906,0.11313417005479937,0.0325408049024807
Humboldt,12,2017,262103334,45116262,307219596,1109288,21112,905442,685115,2720957,105248119,63454391,93400824,0.02913204491643457,0.011876640403086808,06023,"Humboldt County, California",135490,14986,3886,6196,1389,6851,360,362,101460,0.7488375525869068,0.010251679090707802,0.11060594877850764,0.03133810613329397
Imperial,13,2021,457609355,62080645,519690000,1658620,706385,179734,2217514,4762253,202310659,108166073,147132623,0.03236707742238783,0.01127295881892896,06025,"Imperial County, California",180051,153218,2232,1283,4447,1113,102,146,17510,0.09725022354777257,0.02469855763089347,0.8509700029436105,0.012962993818418115
Imperial,13,2020,417446893,56788322,474235215,2044573,1120681,273372,2712039,6150665,211791517,67714084,137941292,0.044589005299442895,0.014822051978460518,06025,"Imperial County, California",180580,152880,2375,1030,4317,1322,112,151,18393,0.1018551334588548,0.023906301916048287,0.8466053826558866,0.013772289290065345
Imperial,13,2019,376686136,50879604,427565740,1967347,941864,805750,1966447,5681408,185325561,61264599,130095976,0.04367089724589176,0.015122274035593538,06025,"Imperial County, California",180701,152172,2367,1104,3882,1594,240,114,19228,0.10640782286761002,0.021483002307679536,0.8421204088521923,0.014427147608480307
Imperial,13,2018,386990515,52756696,439747211,2119590,922732,516070,1586239,5144631,190797780,68648674,127544061,0.040336107849035796,0.0166184923341903,06025,"Imperial County, California",180216,151019,2376,1076,3906,1639,307,120,19773,0.10971833799440671,0.021673991210547344,0.8379888578150664,0.01488769032716296
Imperial,13,2017,380250473,58050818,438301291,2995406,1114965,31447,1849108,5990926,178389621,69292557,132568295,0.04519124274774749,0.022595191406814125,06025,"Imperial County, California",179957,150108,2263,1087,4109,1728,152,138,20372,0.11320482115171958,0.022833232383291564,0.8341325983429375,0.013419872525103219
Inyo,14,2021,86532434,10102648,96635082,,1244899,,743677,1988576,28975357,12091497,45465580,0.04373805414997455,,06027,"Inyo County, California",18804,4452,286,1756,72,923,23,39,11253,0.5984365028717294,0.0038289725590299937,0.23675813656668793,0.01643267389917039
Inyo,14,2020,78907945,10458859,89366804,,1221176,,94502,1315678,27655879,8077149,43174917,0.0304732027626133,,06027,"Inyo County, California",17930,4115,254,1683,85,760,37,46,10950,0.6107083100948132,0.004740658114891244,0.2295036252091467,0.0162297824874512
Inyo,14,2019,74956586,9911905,84868491,,1486122,,175180,1661302,27613406,7477460,39865720,0.041672444395836825,,06027,"Inyo County, California",17977,4020,325,1828,141,421,34,35,11173,0.6215163820437225,0.007843355398564834,0.2236190688101463,0.019969961617622517
Inyo,14,2018,70031945,9596760,79628705,,1948467,,14442,1962909,24062787,7727845,38241313,0.05132953986177201,,06027,"Inyo County, California",18085,3927,289,1944,160,313,35,28,11389,0.6297484102847664,0.008847110865358032,0.21714127730163119,0.017915399502350014
Inyo,14,2017,67321591,8573801,75895392,,1610773,,30552,1641325,20250152,10506896,36564543,0.044888431943481424,,06027,"Inyo County, California",18195,3894,270,1956,172,297,34,15,11557,0.6351744984885958,0.009453146468810113,0.21401483924154988,0.01670788678208299
Kern,15,2021,1992456758,350404693,2342861451,2325120,8195218,2098038,13514597,26132973,740299498,428500256,823657004,0.03172798006098179,0.00282292263491758,06029,"Kern County, California",905644,495742,42216,3998,45929,22290,1065,2994,291410,0.3217710270260721,0.05071418791489813,0.5473916903330669,0.04779030170795589
Kern,15,2020,1732962295,335461101,2068423396,2315635,7836954,1307032,7845053,19304674,629804992,339009850,764147453,0.02526302210942526,0.0030303510021644996,06029,"Kern County, California",892458,480700,41599,4149,45312,21158,1011,2024,296505,0.3322341219418729,0.05077213717620325,0.5386247868247022,0.047744543720824956
Kern,15,2019,1585107070,325821138,1910928208,2447093,9267432,1089407,8875026,21678958,630802682,253549409,700754979,0.0309365736236888,0.0034920807890542293,06029,"Kern County, California",887641,473374,40730,4303,45761,18260,1115,873,303225,0.34160769950914843,0.05155349966934831,0.5332944287161139,0.04714180620318349
Kern,15,2018,1537874179,324489929,1862364108,2335422,9918749,1091879,8228499,21574549,604252948,272744100,660877131,0.03264532541374926,0.003533821780859898,06029,"Kern County, California",883053,465842,40273,4202,45053,18461,1153,1039,307030,0.3476914749171341,0.051019587725765043,0.5275357198265562,0.04691224649030126
Kern,15,2017,1525671175,308678329,1834349504,1669579,10189269,2408005,8303934,22570787,630648660,264666332,630356183,0.0358064021718337,0.002648627942465982,06029,"Kern County, California",878744,458907,39808,4214,45024,18128,1029,996,310638,0.35350227142375934,0.05123676520124177,0.5222305927551141,0.04647201005070874
Kings,16,2021,308309976,33722927,342032903,391432,,35636,766293,1193361,156735742,82998474,68575760,0.017402082018485834,0.005708022776561281,06031,"Kings County, California",151887,84369,5687,1228,9188,4066,256,233,46860,0.3085188330798554,0.060492339699908484,0.5554721602243773,0.03912777262043493
Kings,16,2020,270682431,32069142,302751573,445564,,68873,762690,1277127,150926429,56130975,63625027,0.02007271446816046,0.007002967558662097,06031,"Kings County, California",151090,82954,5421,1195,8878,4535,154,236,47717,0.31581838639221654,0.058759679661129126,0.5490369978158713,0.036898537295651596
Kings,16,2019,263753223,31590006,295343229,496939,,70356,641675,1208970,151070010,51185839,61497374,0.01965888819903107,0.008080653980444759,06031,"Kings County, California",150691,82116,5565,1282,8779,3932,241,239,48537,0.3220962101253559,0.05825829014340604,0.5449296905588257,0.03852917559774638
Kings,16,2018,245141535,29709928,274851463,488759,,26635,540049,1055443,138573303,49889226,56679006,0.01862140983912103,0.008623281078711931,06031,"Kings County, California",150075,81154,5737,1227,8784,3626,285,204,49058,0.32688988838913874,0.058530734632683656,0.5407562885224054,0.04012660336498417
Kings,16,2017,230909267,37704135,268613402,395146,,192135,544406,1131687,103229929,53101542,74577796,0.015174583598582076,0.005298440302526505,06031,"Kings County, California",150183,80715,5463,1200,8916,3618,332,211,49728,0.3311160384331116,0.05936757156269351,0.5374443179321228,0.03858625809845322
Lake,17,2021,198203104,11190544,209393648,240136,81872,60902,995782,1698498,85382927,30135536,82684641,0.02054188032333599,0.002904239494732764,06033,"Lake County, California",67749,15050,922,1768,1530,2211,157,166,45945,0.6781649913651862,0.0225833591639729,0.22214350027306676,0.015926434338514223
Lake,17,2020,178627675,11153547,189781222,288299,117495,116007,593994,1286317,78719308,23095055,76813312,0.016746016627951155,0.0037532426671043687,06033,"Lake County, California",64276,13667,918,2006,1509,1591,15,80,44490,0.6921712614350612,0.023476880950899247,0.2126299085195096,0.014515526790715041
Lake,17,2019,174143381,13761391,187904772,350085,143175,105443,712557,1450760,75325180,27901149,70917052,0.020457139137706967,0.0049365419194244,06033,"Lake County, California",64195,13224,684,1926,1331,1619,42,111,45258,0.7050081782070254,0.02073370200171353,0.20599735181867745,0.011309292000934652
Lake,17,2018,131576957,17295973,148872930,328989,130769,124140,668722,1252620,63998958,20099515,47478484,0.0263828979880655,0.0069292229296959015,06033,"Lake County, California",64148,12830,642,2090,1426,1365,30,142,45623,0.7112146910270001,0.02222984348693646,0.20000623558022074,0.010475774770842427
Lake,17,2017,128002469,13618837,141621306,400747,140007,178130,689373,1408257,57937884,23430763,46633822,0.03019818963155111,0.008593483931040436,06033,"Lake County, California",64095,12445,920,2045,1362,1244,32,90,45957,0.7170138076293002,0.021249707465480928,0.19416491145955223,0.014852952648412512
Lassen,18,2021,81633956,1572279,83206235,,644023,5943,34795,684761,42957239,15371170,23305547,0.029381889212898544,,06035,"Lassen County, California",32949,6494,513,750,2748,918,250,137,21139,0.6415672706303681,0.08340162068651552,0.19709247625117607,0.023157000212449545
Lassen,18,2020,79701438,1555883,81257321,,855428,2804,635423,1494090,43749329,11598746,24353363,0.06135045907212076,,06035,"Lassen County, California",30600,5893,470,785,2605,633,256,85,19873,0.6494444444444445,0.08513071895424837,0.19258169934640523,0.02372549019607843
