county_name,entity_id,year,revenues_govfunds,revenues_propfunds,expenditures_gov,expenditures_prop,total_revenues,total_expenditures,vehicle_fines,other_court_fines,forfeitures,delinquent_taxes,total_fines,state_intergov,fed_intergov,ownsource_rev,fines_share,vehicle_fines_share,library,edu,police,corrections,fire,GEOID,NAME,total_pop,his,nha,nhaian,nhb,nhmixed,nhnh,nhsor,nhw,pnhw,pnhb,phis,papi,fines_share_tot_rev,fines_per_cap,vehicle_fines_share_tot_rev,vehicle_fines_per_cap,police_share,corrections_share,fire_share,library_share,edu_share,police_per_1000,edu_per_1000
Plumas,32,2019,59846481,4618105,60762691,3030939,64464586,63793630,669,307040,,465291,773000,29773099,5871545,24201837,0.03193972424489926,2.7642529779867535e-5,527655,612573,7581897,4712318,,06063,"Plumas County, California",18660,1670,212,268,141,675,86,94,15514,0.8314040728831725,0.007556270096463023,0.0894962486602358,0.01596998928188639,0.011991079877562543,41.42550911039657,1.0377790993647271e-5,0.03585209003215434,0.11885037738093913,0.07386815893687192,,0.00827128037705332,0.009602416416811522,406318.16720257234,32828.13504823151
Plumas,32,2018,59348466,5519234,58298516,3771596,64867700,62070112,351,327890,9830,403932,742003,28166436,7204699,23977331,0.030946021473365823,1.4638826982035658e-5,529880,606429,6713447,3512816,,06063,"Plumas County, California",18699,1629,200,387,194,551,41,126,15571,0.8327183271832719,0.010374886357559229,0.087116958126103,0.012888389753462752,0.011438712949588162,39.68142681426814,5.41101349361855e-6,0.01877105727579015,0.10815909273693594,0.05659432352885073,,0.008536797871413539,0.009770064536052392,359027.0602706027,32431.09257179528
Plumas,32,2017,53386711,3073889,56483833,4592415,56460600,61076248,318,270088,406933,,677339,25451731,5515271,22419709,0.030211765906506635,1.41839485962998e-5,588005,669653,6575872,3524345,,06063,"Plumas County, California",18724,1599,148,342,160,668,55,112,15640,0.8352916043580432,0.008545182653279214,0.08539841914120914,0.010841700491348003,0.0119966667020896,36.17490920743431,5.632246203547253e-6,0.016983550523392437,0.10766660060716238,0.057704019408657846,,0.00962739230477943,0.010964213125861955,351200.1709036531,35764.41999572741
Plumas,32,2016,,,,,56848205,56994974,586,241702,3309,435148,680745,25397119,9015813,,,,568089,666687,6443313,3303072,0,06063,"Plumas County, California",18754,1578,171,352,26,649,190,91,15697,0.8369947744481178,0.0013863709075397248,0.08414204969606484,0.01924922683160926,0.01197478442810991,36.29865628665885,1.0308153089442314e-5,0.031246667377626106,0.11305054722895391,0.05795374167553791,0,0.00996735255989414,0.011697294571974014,343570.0650527887,35549.05620134371
Plumas,32,2015,,,,,51754031,50800749,42,280269,1331,806258,1087900,22283581,6889299,,,,554211,647020,6230304,3326613,0,06063,"Plumas County, California",18966,1574,178,342,124,588,167,0,15993,0.8432458082885163,0.006538015395971739,0.08299061478435095,0.018190446061372982,0.021020584850675688,57.36053991352947,8.115309897310221e-7,0.002214489085732363,0.12264197128274625,0.0654835423784795,0,0.010909504503565488,0.012736426386154267,328498.5763998735,34114.73162501318
Plumas,32,2014,,,,,51296500,47018822,393,300992,3832,1337442,1642659,23809399,6858315,,,,534912,617619,6366752,2840525,0,06063,"Plumas County, California",19286,1594,198,454,135,450,160,0,16295,0.8449134086902417,0.006999896297832625,0.08265062739811262,0.01856268796017837,0.03202282806819179,85.17364927926994,7.661341417055745e-6,0.020377475889246086,0.13540858169521985,0.060412508845925576,0,0.011376550437609857,0.013135569410905275,330122.9907705071,32024.214456082136
Plumas,32,2013,,,,,49504306,45180340,843,304865,20980,175760,502448,22984892,6505345,,,,485184,561558,5967814,2879329,0,06063,"Plumas County, California",19586,1591,149,373,238,348,259,0,16628,0.8489737567650363,0.012151536812008578,0.0812314918819565,0.020831205963443275,0.010149581735374696,25.653425916470947,1.702882169482388e-5,0.04304094761564383,0.13208873594134085,0.06372968862120117,0,0.010738830208006403,0.01242925573379926,304697.9475135301,28671.397937302154
Plumas,32,2012,,,,,51373487,49542389,1071,384397,7784,1054099,1447351,22624560,7559231,,,,627759,714855,7152317,3281940,0,06063,"Plumas County, California",19926,1604,234,370,253,328,172,0,16965,0.8514001806684733,0.012696978821640068,0.08049784201545719,0.020375388939074576,0.028173111940016843,72.63630432600623,2.0847329284850765e-5,0.05374887082204156,0.14436762425808736,0.0662450896342524,0,0.012671149144624414,0.014429158836082773,358943.94258757407,35875.489310448655
Plumas,32,2011,,,,,50408154,49988905,416,386764,9711,918497,1315388,19863830,8749836,,,,716178,800276,5803393,3227879,0,06063,"Plumas County, California",20192,1617,208,516,253,326,18,0,17254,0.8544968304278923,0.0125297147385103,0.08008122028526149,0.01119255150554675,0.02609474649676717,65.14401743264659,8.252633095828107e-6,0.020602218700475437,0.11609362117453863,0.06457190850649759,0,0.014326739103407047,0.01600907241316848,287410.50911251985,39633.320126782884
Plumas,32,2010,,,,,53346756,51018479,1126,597393,6959,834057,1439535,21860282,8368053,,,,774527,874270,6284702,3040906,0,06063,"Plumas County, California",20392,1593,191,557,198,333,9,0,17511,0.858719105531581,0.009709690074539035,0.07811887014515496,0.009807767752059632,0.026984489928497245,70.5931247548058,2.110718784849823e-5,0.055217732444095724,0.12318481701502705,0.05960401132303454,0,0.015181303229365187,0.017136339952431745,308194.4880345233,42873.185562965875
